date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2018-01-31,sh.600000,11.4771680400,12.7422960000,11.4680664000,11.9868598800,2529675533,33331929282.0000,2,9.001198,4.606831
2018-02-28,sh.600000,11.9595549600,12.6512796000,11.1404073600,11.3406434400,1469635205,19206964551.0000,2,5.229318,-5.391040
2018-03-30,sh.600000,11.2860336000,11.4680664000,10.4213778000,10.6034106000,600353472,7307852092.0000,2,2.136203,-6.500803
2018-04-27,sh.600000,10.6307155200,10.9401712800,10.4577843600,10.5670040400,384718774,4498216883.0000,2,1.368923,-0.343348
2018-05-31,sh.600000,10.3121581200,10.3121581200,9.4566039600,9.6022302000,512489952,5578084884.0000,2,1.985580,-9.130060
2018-06-29,sh.600000,9.6477384000,9.8570761200,8.4827284800,8.7011678400,444682049,4475075785.0000,2,1.582286,-9.383886
2018-07-31,sh.600000,8.6920662000,9.3817050000,8.3462038800,9.3541117500,432968988,4183505816.0000,2,1.540609,7.504098
2018-08-31,sh.600000,9.4368915000,9.5932532500,8.8850265000,9.5012757500,444508687,4491287146.0000,2,1.581670,1.573255
2018-09-28,sh.600000,9.4460892500,9.8875812500,9.1517612500,9.7680105000,375137970,3864050691.0000,2,1.334832,2.807357
2018-10-31,sh.600000,9.5564622500,10.2278980000,8.9310152500,10.0991295000,564698392,5919030349.0000,2,2.009334,3.389831
2018-11-30,sh.600000,10.1635137500,10.3474687500,9.5932532500,9.8507902500,461911655,4999275439.0000,2,1.643594,-2.459016
2018-12-28,sh.600000,10.1083272500,10.2095025000,8.8298400000,9.0137950000,449765261,4701236442.0000,2,1.600374,-8.496732
2019-01-31,sh.600000,8.9586085000,9.8691857500,8.8114445000,9.8691857500,440419412,4490181199.0000,2,1.567119,9.489796
2019-02-28,sh.600000,9.9519655000,11.1752662500,9.7680105000,10.7981585000,531529931,6002415050.0000,2,1.891312,9.412861
2019-03-29,sh.600000,10.8625427500,11.3868145000,10.0255475000,10.3750620000,953078051,11028800521.0000,2,3.391283,-3.918228
2019-04-30,sh.600000,10.4486440000,11.2212550000,10.3750620000,11.0097067500,1204335489,14080156215.0000,2,4.285317,6.117021
2019-05-31,sh.600000,10.8073562500,10.9821135000,10.0715362500,10.2370957500,950541659,10809169540.0000,2,3.382257,-7.017544
2019-06-28,sh.600000,10.2738867500,11.6838568000,10.2370957500,11.0769032000,819069232,9600305929.0000,2,2.914447,8.203550
2019-07-31,sh.600000,11.2476089000,11.3803800000,10.6406553000,11.2570925500,693897616,8059536784.0000,2,2.469300,1.626712
2019-08-30,sh.600000,11.1527724000,11.2381252500,10.4035640500,10.6975572000,695639123,7886874889.0000,2,2.475100,-4.970514
2019-09-30,sh.600000,10.7165245000,11.5510857000,10.6596226000,11.2286416000,677683247,8007390083.0000,2,2.411300,4.964539
2019-10-31,sh.600000,11.1907070000,12.6417054500,11.1907070000,11.8640461500,1087462583,13867514876.0000,2,3.869600,5.658784
2019-11-29,sh.600000,11.8545625000,12.5089343500,11.2760598500,11.2950271500,810490073,10048767789.0000,2,2.883800,-4.796163
2019-12-31,sh.600000,11.3424454000,11.9019807500,11.0958705000,11.7312750500,647682816,7865092088.0000,2,2.304800,3.862301
2020-01-23,sh.600000,11.8261115500,12.0347518500,10.7354918000,10.7639427500,571629566,6964347366.0000,2,2.034000,-8.245756
2020-02-28,sh.600000,9.6922903000,10.8018773500,9.6922903000,10.2897602500,817661375,8916089889.0000,2,2.909300,-4.405286
2020-03-31,sh.600000,10.3845967500,10.7354918000,9.3129443000,9.6259047500,874828577,9265607713.0000,2,3.112800,-6.451613
2020-04-30,sh.600000,9.5879701500,10.2328583500,9.4646827000,10.0811199500,444434445,4553876272.0000,2,1.581500,4.729064
2020-05-29,sh.600000,9.9009306000,10.0242180500,9.6069374500,10.0242180500,380162810,3948919121.0000,2,1.352600,-0.564440
2020-06-30,sh.600000,10.0811199500,10.3087275500,9.8155777500,10.0337017000,461149258,4880871787.0000,2,1.640800,0.094607
2020-07-31,sh.600000,10.0431853500,12.0347518500,10.0052507500,10.3600000000,1790387315,20404649763.0400,2,6.370700,3.252035
2020-08-31,sh.600000,10.4000000000,10.9800000000,10.3100000000,10.3600000000,1057923933,11143344672.0700,2,3.764400,0.000000
2020-09-30,sh.600000,10.3100000000,10.3600000000,9.3500000000,9.3900000000,1075852736,10629547559.3000,2,3.688700,-9.362934
2020-10-30,sh.600000,9.4400000000,9.9300000000,9.2500000000,9.2600000000,865978311,8302951531.8700,2,2.950300,-1.384452
2020-11-30,sh.600000,9.2800000000,10.5300000000,9.2200000000,10.0600000000,1521195270,14772533850.7700,2,5.182600,8.639309
